2026-02-22 01:07:44,482 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:09:02,073 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:09:07,945 | INFO | app | 🚀 Starting application...
2026-02-22 01:09:07,967 | INFO | app | ✅ Database file found.
2026-02-22 01:09:07,984 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:12:02,443 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:12:08,117 | INFO | app | 🚀 Starting application...
2026-02-22 01:12:08,119 | INFO | app | ✅ Database file found.
2026-02-22 01:12:08,189 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:15:18,928 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:15:25,802 | INFO | app | 🚀 Starting application...
2026-02-22 01:15:25,804 | INFO | app | ✅ Database file found.
2026-02-22 01:15:25,831 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:16:36,625 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:16:43,047 | INFO | app | 🚀 Starting application...
2026-02-22 01:16:43,051 | INFO | app | ✅ Database file found.
2026-02-22 01:16:43,097 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:17:36,199 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:17:42,257 | INFO | app | 🚀 Starting application...
2026-02-22 01:17:42,276 | INFO | app | ✅ Database file found.
2026-02-22 01:17:42,300 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:19:33,700 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:19:42,465 | INFO | app | 🚀 Starting application...
2026-02-22 01:19:42,468 | INFO | app | ✅ Database file found.
2026-02-22 01:19:42,494 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:21:23,314 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:24:54,076 | INFO | app | 🚀 Starting application...
2026-02-22 01:24:54,082 | INFO | app | ✅ Database file found.
2026-02-22 01:24:54,166 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:33:47,569 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:33:55,151 | INFO | app | 🚀 Starting application...
2026-02-22 01:33:55,171 | INFO | app | ✅ Database file found.
2026-02-22 01:33:55,187 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:35:34,767 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:35:39,915 | INFO | app | 🚀 Starting application...
2026-02-22 01:35:39,916 | INFO | app | ✅ Database file found.
2026-02-22 01:35:39,945 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:39:29,751 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:39:38,593 | INFO | app | 🚀 Starting application...
2026-02-22 01:39:38,597 | INFO | app | ✅ Database file found.
2026-02-22 01:39:38,637 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:40:42,532 | WARNING | app | 🛑 Application shutting down
2026-02-22 01:40:47,688 | INFO | app | 🚀 Starting application...
2026-02-22 01:40:47,690 | INFO | app | ✅ Database file found.
2026-02-22 01:40:47,721 | INFO | app | 🔥 Tables checked/created successfully
2026-02-22 01:41:24,100 | INFO | app | ➡️  GET http://127.0.0.1:8000/openapi.json
2026-02-22 01:41:24,481 | INFO | app | ⬅️  Status: 200
2026-02-22 01:44:17,138 | INFO | app | ➡️  GET http://127.0.0.1:8000/docs
2026-02-22 01:44:17,151 | INFO | app | ⬅️  Status: 200
2026-02-22 01:44:17,751 | INFO | app | ➡️  GET http://127.0.0.1:8000/openapi.json
2026-02-22 01:44:17,754 | INFO | app | ⬅️  Status: 200
2026-02-22 01:44:46,261 | INFO | app | ➡️  POST http://127.0.0.1:8000/auth/login
2026-02-22 01:44:46,467 | INFO | app | ⬅️  Status: 422
2026-02-22 01:45:16,891 | INFO | app | ➡️  POST http://127.0.0.1:8000/products/
2026-02-22 01:45:16,913 | INFO | app | ⬅️  Status: 401
2026-02-22 01:45:31,191 | INFO | app | ➡️  POST http://127.0.0.1:8000/auth/login
2026-02-22 01:45:31,917 | INFO | app | ⬅️  Status: 200
2026-02-22 01:46:43,846 | INFO | app | ➡️  GET http://127.0.0.1:8000/orders/
2026-02-22 01:46:43,874 | INFO | app | ⬅️  Status: 401
2026-02-22 01:52:32,659 | INFO | app | ➡️  GET http://127.0.0.1:8000/admin-only
2026-02-22 01:52:32,670 | INFO | app | ⬅️  Status: 404
